indicator_id,claim_id,indicator_type,severity,detected_date,pattern_description,investigation_status
FRD-000030,CLM-2026-000166,Excessive Claim Amount,HIGH,2024-10-08,"Claim amount $139,243.08 exceeds typical range by 110%",CLOSED
FRD-000031,CLM-2026-000167,Policyholder Collusion,MEDIUM,2025-04-30,Evidence suggests coordination between parties,OPEN
FRD-000032,CLM-2026-000167,Previous Fraud History,LOW,2025-04-24,Claimant has 1 previous fraud flags on record,CLOSED
FRD-000033,CLM-2026-000171,Suspicious Timing,MEDIUM,2023-04-26,Claim filed 3 days after policy inception/modification,CLOSED
FRD-000034,CLM-2026-000172,Phantom Damage,MEDIUM,2024-02-05,Claimed damage not consistent with incident type,OPEN
FRD-000035,CLM-2026-000172,Phantom Damage,MEDIUM,2024-01-28,Claimed damage not consistent with incident type,CONFIRMED
FRD-000036,CLM-2026-000172,Phantom Damage,LOW,2024-01-18,Claimed damage not consistent with incident type,CONFIRMED
FRD-000037,CLM-2026-000186,Previous Fraud History,LOW,2024-11-06,Claimant has 3 previous fraud flags on record,CLOSED
FRD-000038,CLM-2026-000186,Inconsistent Documentation,MEDIUM,2024-10-10,Documentation shows inconsistencies in dates and damage descriptions,OPEN
FRD-000039,CLM-2026-000186,Multiple Claims Short Period,HIGH,2024-11-06,Claimant filed 5 claims within 43 days,CONFIRMED
FRD-000040,CLM-2026-000193,Inconsistent Documentation,LOW,2025-07-08,Documentation shows inconsistencies in dates and damage descriptions,OPEN
FRD-000041,CLM-2026-000193,Witness Inconsistency,MEDIUM,2025-06-10,Witness statements contain conflicting information,CONFIRMED
FRD-000042,CLM-2026-000193,Staged Accident Pattern,MEDIUM,2025-06-30,Incident characteristics match known staged accident patterns,OPEN
FRD-000043,CLM-2026-000200,Previous Fraud History,HIGH,2024-02-08,Claimant has 2 previous fraud flags on record,CLOSED
FRD-000044,CLM-2026-000200,Multiple Claims Short Period,LOW,2024-02-01,Claimant filed 3 claims within 86 days,CLOSED
FRD-000045,CLM-2026-000205,Suspicious Timing,MEDIUM,2023-10-27,Claim filed 4 days after policy inception/modification,CLOSED
FRD-000046,CLM-2026-000205,Phantom Damage,CRITICAL,2023-11-03,Claimed damage not consistent with incident type,OPEN
FRD-000047,CLM-2026-000205,Suspicious Timing,MEDIUM,2023-10-18,Claim filed 3 days after policy inception/modification,OPEN
FRD-000048,CLM-2026-000211,Previous Fraud History,HIGH,2025-11-30,Claimant has 2 previous fraud flags on record,CLOSED
FRD-000049,CLM-2026-000211,Multiple Claims Short Period,MEDIUM,2025-12-05,Claimant filed 5 claims within 48 days,CLOSED
FRD-000050,CLM-2026-000211,Phantom Damage,MEDIUM,2025-12-11,Claimed damage not consistent with incident type,CLOSED
FRD-000051,CLM-2026-000213,Staged Accident Pattern,LOW,2025-06-02,Incident characteristics match known staged accident patterns,CLOSED
FRD-000052,CLM-2026-000215,Medical Bill Padding,MEDIUM,2023-04-10,Medical bills inflated by estimated 93%,CLOSED
FRD-000053,CLM-2026-000224,Excessive Claim Amount,LOW,2025-01-29,"Claim amount $50,144.61 exceeds typical range by 95%",CONFIRMED
FRD-000054,CLM-2026-000234,Medical Bill Padding,CRITICAL,2025-04-22,Medical bills inflated by estimated 70%,CLOSED
FRD-000055,CLM-2026-000236,Phantom Damage,MEDIUM,2023-03-22,Claimed damage not consistent with incident type,OPEN
FRD-000056,CLM-2026-000236,Previous Fraud History,HIGH,2023-03-05,Claimant has 2 previous fraud flags on record,OPEN
FRD-000057,CLM-2026-000236,Suspicious Timing,HIGH,2023-03-20,Claim filed 2 days after policy inception/modification,OPEN
FRD-000058,CLM-2026-000253,Witness Inconsistency,HIGH,2023-09-03,Witness statements contain conflicting information,CONFIRMED
FRD-000059,CLM-2026-000253,Policyholder Collusion,CRITICAL,2023-08-31,Evidence suggests coordination between parties,CONFIRMED
FRD-000060,CLM-2026-000260,Phantom Damage,MEDIUM,2026-01-05,Claimed damage not consistent with incident type,CLOSED
FRD-000061,CLM-2026-000260,Witness Inconsistency,CRITICAL,2026-01-11,Witness statements contain conflicting information,CLOSED
FRD-000062,CLM-2026-000266,Policyholder Collusion,CRITICAL,2025-03-04,Evidence suggests coordination between parties,OPEN
FRD-000063,CLM-2026-000266,Witness Inconsistency,MEDIUM,2025-03-25,Witness statements contain conflicting information,CLOSED
FRD-000064,CLM-2026-000267,Medical Bill Padding,HIGH,2024-12-07,Medical bills inflated by estimated 58%,CONFIRMED
FRD-000065,CLM-2026-000271,Multiple Claims Short Period,LOW,2025-10-29,Claimant filed 4 claims within 42 days,OPEN
FRD-000066,CLM-2026-000282,Medical Bill Padding,HIGH,2024-07-03,Medical bills inflated by estimated 44%,CONFIRMED
FRD-000067,CLM-2026-000290,Policyholder Collusion,CRITICAL,2024-03-09,Evidence suggests coordination between parties,OPEN
FRD-000068,CLM-2026-000291,Staged Accident Pattern,HIGH,2024-09-10,Incident characteristics match known staged accident patterns,CONFIRMED
FRD-000069,CLM-2026-000291,Suspicious Timing,LOW,2024-09-05,Claim filed 5 days after policy inception/modification,CONFIRMED
FRD-000070,CLM-2026-000291,Excessive Claim Amount,LOW,2024-09-08,"Claim amount $62,759.92 exceeds typical range by 167%",CONFIRMED
FRD-000071,CLM-2026-000294,Policyholder Collusion,MEDIUM,2024-09-06,Evidence suggests coordination between parties,CONFIRMED
FRD-000072,CLM-2026-000294,Excessive Claim Amount,MEDIUM,2024-09-14,"Claim amount $42,349.27 exceeds typical range by 165%",CONFIRMED
FRD-000073,CLM-2026-000313,Medical Bill Padding,HIGH,2023-10-28,Medical bills inflated by estimated 65%,CONFIRMED
FRD-000074,CLM-2026-000318,Staged Accident Pattern,HIGH,2024-03-15,Incident characteristics match known staged accident patterns,CLOSED
FRD-000075,CLM-2026-000335,Excessive Claim Amount,HIGH,2025-08-08,"Claim amount $13,201.16 exceeds typical range by 153%",CLOSED
FRD-000076,CLM-2026-000336,Suspicious Timing,MEDIUM,2023-12-26,Claim filed 3 days after policy inception/modification,OPEN
FRD-000077,CLM-2026-000336,Staged Accident Pattern,MEDIUM,2024-01-02,Incident characteristics match known staged accident patterns,OPEN
FRD-000078,CLM-2026-000336,Policyholder Collusion,MEDIUM,2023-12-23,Evidence suggests coordination between parties,OPEN
FRD-000079,CLM-2026-000354,Phantom Damage,HIGH,2023-09-22,Claimed damage not consistent with incident type,CLOSED
FRD-000080,CLM-2026-000354,Medical Bill Padding,MEDIUM,2023-09-28,Medical bills inflated by estimated 90%,OPEN
FRD-000081,CLM-2026-000354,Multiple Claims Short Period,MEDIUM,2023-10-06,Claimant filed 5 claims within 90 days,CLOSED
FRD-000082,CLM-2026-000371,Inconsistent Documentation,LOW,2025-10-03,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000083,CLM-2026-000378,Policyholder Collusion,MEDIUM,2025-03-25,Evidence suggests coordination between parties,CONFIRMED
FRD-000084,CLM-2026-000378,Previous Fraud History,HIGH,2025-03-15,Claimant has 3 previous fraud flags on record,CLOSED
FRD-000085,CLM-2026-000378,Inconsistent Documentation,MEDIUM,2025-03-29,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000086,CLM-2026-000396,Multiple Claims Short Period,HIGH,2023-03-17,Claimant filed 4 claims within 48 days,OPEN
FRD-000087,CLM-2026-000396,Policyholder Collusion,MEDIUM,2023-02-20,Evidence suggests coordination between parties,CONFIRMED
FRD-000088,CLM-2026-000400,Excessive Claim Amount,MEDIUM,2023-06-06,"Claim amount $3,276.58 exceeds typical range by 128%",CLOSED
FRD-000089,CLM-2026-000414,Witness Inconsistency,HIGH,2025-08-14,Witness statements contain conflicting information,CLOSED
FRD-000090,CLM-2026-000414,Suspicious Timing,CRITICAL,2025-08-07,Claim filed 2 days after policy inception/modification,CONFIRMED
FRD-000091,CLM-2026-000414,Policyholder Collusion,CRITICAL,2025-07-22,Evidence suggests coordination between parties,CONFIRMED
FRD-000092,CLM-2026-000434,Medical Bill Padding,HIGH,2024-07-22,Medical bills inflated by estimated 71%,OPEN
FRD-000093,CLM-2026-000434,Witness Inconsistency,LOW,2024-06-27,Witness statements contain conflicting information,OPEN
FRD-000094,CLM-2026-000450,Excessive Claim Amount,MEDIUM,2025-08-11,"Claim amount $59,515.97 exceeds typical range by 181%",CLOSED
FRD-000095,CLM-2026-000450,Policyholder Collusion,MEDIUM,2025-09-03,Evidence suggests coordination between parties,OPEN
FRD-000096,CLM-2026-000465,Medical Bill Padding,HIGH,2026-01-31,Medical bills inflated by estimated 69%,CLOSED
FRD-000097,CLM-2026-000465,Staged Accident Pattern,CRITICAL,2026-01-23,Incident characteristics match known staged accident patterns,CLOSED
FRD-000098,CLM-2026-000465,Previous Fraud History,HIGH,2026-01-26,Claimant has 2 previous fraud flags on record,OPEN
FRD-000099,CLM-2026-000475,Phantom Damage,MEDIUM,2026-01-27,Claimed damage not consistent with incident type,CLOSED
FRD-000100,CLM-2026-000475,Multiple Claims Short Period,CRITICAL,2026-01-16,Claimant filed 5 claims within 76 days,CLOSED
FRD-000101,CLM-2026-000475,Suspicious Timing,CRITICAL,2026-01-24,Claim filed 4 days after policy inception/modification,OPEN
FRD-000102,CLM-2026-000480,Staged Accident Pattern,MEDIUM,2025-04-15,Incident characteristics match known staged accident patterns,CONFIRMED
FRD-000103,CLM-2026-000480,Inconsistent Documentation,CRITICAL,2025-04-21,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000104,CLM-2026-000484,Phantom Damage,MEDIUM,2025-10-14,Claimed damage not consistent with incident type,OPEN
FRD-000105,CLM-2026-000493,Witness Inconsistency,CRITICAL,2026-01-02,Witness statements contain conflicting information,CLOSED
FRD-000106,CLM-2026-000493,Medical Bill Padding,HIGH,2025-12-26,Medical bills inflated by estimated 59%,CONFIRMED
FRD-000107,CLM-2026-000493,Excessive Claim Amount,HIGH,2025-12-22,"Claim amount $8,370.96 exceeds typical range by 126%",OPEN
FRD-000108,CLM-2026-000498,Inconsistent Documentation,LOW,2024-07-26,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000109,CLM-2026-000498,Policyholder Collusion,MEDIUM,2024-07-15,Evidence suggests coordination between parties,CLOSED
FRD-000110,CLM-2026-000503,Multiple Claims Short Period,LOW,2024-01-26,Claimant filed 6 claims within 87 days,CONFIRMED
FRD-000111,CLM-2026-000503,Previous Fraud History,CRITICAL,2024-02-11,Claimant has 2 previous fraud flags on record,CLOSED
FRD-000112,CLM-2026-000503,Staged Accident Pattern,LOW,2024-02-10,Incident characteristics match known staged accident patterns,CLOSED
FRD-000113,CLM-2026-000510,Multiple Claims Short Period,HIGH,2025-10-15,Claimant filed 7 claims within 85 days,CLOSED
FRD-000114,CLM-2026-000510,Suspicious Timing,HIGH,2025-11-05,Claim filed 3 days after policy inception/modification,CLOSED
FRD-000115,CLM-2026-000531,Previous Fraud History,CRITICAL,2024-09-19,Claimant has 2 previous fraud flags on record,CLOSED
FRD-000116,CLM-2026-000532,Staged Accident Pattern,CRITICAL,2025-11-22,Incident characteristics match known staged accident patterns,OPEN
FRD-000117,CLM-2026-000548,Previous Fraud History,LOW,2024-03-10,Claimant has 1 previous fraud flags on record,CONFIRMED
FRD-000118,CLM-2026-000548,Witness Inconsistency,MEDIUM,2024-03-17,Witness statements contain conflicting information,OPEN
FRD-000119,CLM-2026-000556,Previous Fraud History,LOW,2024-04-23,Claimant has 1 previous fraud flags on record,CONFIRMED
FRD-000120,CLM-2026-000556,Suspicious Timing,HIGH,2024-03-29,Claim filed 4 days after policy inception/modification,OPEN
FRD-000121,CLM-2026-000556,Multiple Claims Short Period,LOW,2024-04-09,Claimant filed 5 claims within 61 days,OPEN
FRD-000122,CLM-2026-000557,Phantom Damage,HIGH,2025-09-27,Claimed damage not consistent with incident type,OPEN
FRD-000123,CLM-2026-000557,Suspicious Timing,CRITICAL,2025-09-30,Claim filed 3 days after policy inception/modification,CLOSED
FRD-000124,CLM-2026-000557,Suspicious Timing,LOW,2025-09-25,Claim filed 1 days after policy inception/modification,CLOSED
FRD-000125,CLM-2026-000566,Multiple Claims Short Period,LOW,2024-11-05,Claimant filed 3 claims within 80 days,CLOSED
FRD-000126,CLM-2026-000566,Policyholder Collusion,MEDIUM,2024-10-16,Evidence suggests coordination between parties,CONFIRMED
FRD-000127,CLM-2026-000566,Phantom Damage,LOW,2024-11-06,Claimed damage not consistent with incident type,CONFIRMED
FRD-000128,CLM-2026-000569,Suspicious Timing,MEDIUM,2023-10-30,Claim filed 2 days after policy inception/modification,OPEN
FRD-000129,CLM-2026-000569,Medical Bill Padding,CRITICAL,2023-10-08,Medical bills inflated by estimated 58%,CLOSED
FRD-000130,CLM-2026-000569,Phantom Damage,MEDIUM,2023-10-10,Claimed damage not consistent with incident type,CLOSED
FRD-000131,CLM-2026-000570,Excessive Claim Amount,HIGH,2024-10-05,"Claim amount $40,199.05 exceeds typical range by 87%",CLOSED
FRD-000132,CLM-2026-000570,Suspicious Timing,HIGH,2024-09-20,Claim filed 4 days after policy inception/modification,CONFIRMED
FRD-000133,CLM-2026-000590,Phantom Damage,MEDIUM,2024-12-23,Claimed damage not consistent with incident type,CLOSED
FRD-000134,CLM-2026-000595,Excessive Claim Amount,CRITICAL,2024-06-08,"Claim amount $57,481.71 exceeds typical range by 130%",CONFIRMED
FRD-000135,CLM-2026-000595,Excessive Claim Amount,HIGH,2024-05-29,"Claim amount $57,481.71 exceeds typical range by 71%",CONFIRMED
FRD-000136,CLM-2026-000603,Multiple Claims Short Period,MEDIUM,2024-09-14,Claimant filed 7 claims within 65 days,CONFIRMED
FRD-000137,CLM-2026-000603,Witness Inconsistency,LOW,2024-09-09,Witness statements contain conflicting information,OPEN
FRD-000138,CLM-2026-000603,Medical Bill Padding,LOW,2024-09-01,Medical bills inflated by estimated 77%,CLOSED
FRD-000139,CLM-2026-000622,Phantom Damage,LOW,2025-04-08,Claimed damage not consistent with incident type,CLOSED
FRD-000140,CLM-2026-000622,Previous Fraud History,LOW,2025-04-23,Claimant has 1 previous fraud flags on record,CLOSED
FRD-000141,CLM-2026-000626,Excessive Claim Amount,MEDIUM,2025-01-14,"Claim amount $16,536.80 exceeds typical range by 105%",OPEN
FRD-000142,CLM-2026-000627,Policyholder Collusion,HIGH,2023-08-14,Evidence suggests coordination between parties,CLOSED
FRD-000143,CLM-2026-000627,Witness Inconsistency,HIGH,2023-08-09,Witness statements contain conflicting information,OPEN
FRD-000144,CLM-2026-000636,Previous Fraud History,MEDIUM,2023-05-21,Claimant has 3 previous fraud flags on record,OPEN
FRD-000145,CLM-2026-000637,Previous Fraud History,LOW,2024-12-16,Claimant has 2 previous fraud flags on record,CLOSED
FRD-000146,CLM-2026-000641,Inconsistent Documentation,LOW,2023-12-07,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000147,CLM-2026-000642,Multiple Claims Short Period,HIGH,2025-07-11,Claimant filed 6 claims within 88 days,CLOSED
FRD-000148,CLM-2026-000642,Previous Fraud History,HIGH,2025-07-18,Claimant has 2 previous fraud flags on record,OPEN
FRD-000149,CLM-2026-000649,Excessive Claim Amount,MEDIUM,2023-10-18,"Claim amount $44,666.10 exceeds typical range by 200%",CLOSED
FRD-000150,CLM-2026-000649,Staged Accident Pattern,MEDIUM,2023-10-15,Incident characteristics match known staged accident patterns,CONFIRMED
FRD-000151,CLM-2026-000662,Suspicious Timing,MEDIUM,2023-08-25,Claim filed 1 days after policy inception/modification,CLOSED
FRD-000152,CLM-2026-000662,Excessive Claim Amount,HIGH,2023-09-17,"Claim amount $36,283.42 exceeds typical range by 176%",CLOSED
FRD-000153,CLM-2026-000664,Policyholder Collusion,MEDIUM,2024-07-28,Evidence suggests coordination between parties,OPEN
FRD-000154,CLM-2026-000664,Previous Fraud History,MEDIUM,2024-07-09,Claimant has 3 previous fraud flags on record,OPEN
FRD-000155,CLM-2026-000664,Previous Fraud History,MEDIUM,2024-07-26,Claimant has 3 previous fraud flags on record,CLOSED
FRD-000156,CLM-2026-000669,Multiple Claims Short Period,HIGH,2023-05-14,Claimant filed 6 claims within 88 days,OPEN
FRD-000157,CLM-2026-000669,Multiple Claims Short Period,HIGH,2023-04-29,Claimant filed 6 claims within 36 days,OPEN
FRD-000158,CLM-2026-000669,Medical Bill Padding,MEDIUM,2023-05-07,Medical bills inflated by estimated 76%,OPEN
FRD-000159,CLM-2026-000674,Policyholder Collusion,HIGH,2025-02-23,Evidence suggests coordination between parties,OPEN
FRD-000160,CLM-2026-000674,Policyholder Collusion,MEDIUM,2025-03-03,Evidence suggests coordination between parties,CLOSED
FRD-000161,CLM-2026-000678,Inconsistent Documentation,HIGH,2023-08-21,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000162,CLM-2026-000678,Phantom Damage,MEDIUM,2023-08-16,Claimed damage not consistent with incident type,CONFIRMED
FRD-000163,CLM-2026-000679,Medical Bill Padding,HIGH,2023-12-26,Medical bills inflated by estimated 67%,CLOSED
FRD-000164,CLM-2026-000679,Phantom Damage,HIGH,2023-12-27,Claimed damage not consistent with incident type,OPEN
FRD-000165,CLM-2026-000687,Policyholder Collusion,HIGH,2023-11-04,Evidence suggests coordination between parties,CONFIRMED
FRD-000166,CLM-2026-000687,Policyholder Collusion,MEDIUM,2023-11-22,Evidence suggests coordination between parties,CONFIRMED
FRD-000167,CLM-2026-000687,Staged Accident Pattern,HIGH,2023-11-13,Incident characteristics match known staged accident patterns,CLOSED
FRD-000168,CLM-2026-000690,Staged Accident Pattern,HIGH,2024-03-28,Incident characteristics match known staged accident patterns,CLOSED
FRD-000169,CLM-2026-000691,Excessive Claim Amount,LOW,2023-10-31,"Claim amount $53,914.44 exceeds typical range by 91%",OPEN
FRD-000170,CLM-2026-000691,Staged Accident Pattern,MEDIUM,2023-10-29,Incident characteristics match known staged accident patterns,OPEN
FRD-000171,CLM-2026-000691,Excessive Claim Amount,HIGH,2023-10-22,"Claim amount $53,914.44 exceeds typical range by 57%",OPEN
FRD-000172,CLM-2026-000703,Inconsistent Documentation,LOW,2025-07-11,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000173,CLM-2026-000703,Phantom Damage,MEDIUM,2025-07-08,Claimed damage not consistent with incident type,OPEN
FRD-000174,CLM-2026-000714,Policyholder Collusion,LOW,2024-04-19,Evidence suggests coordination between parties,CLOSED
FRD-000175,CLM-2026-000714,Inconsistent Documentation,HIGH,2024-04-08,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000176,CLM-2026-000720,Phantom Damage,HIGH,2025-10-04,Claimed damage not consistent with incident type,CONFIRMED
FRD-000177,CLM-2026-000721,Witness Inconsistency,MEDIUM,2023-04-27,Witness statements contain conflicting information,CLOSED
FRD-000178,CLM-2026-000725,Suspicious Timing,HIGH,2025-01-25,Claim filed 3 days after policy inception/modification,CLOSED
FRD-000179,CLM-2026-000725,Medical Bill Padding,MEDIUM,2025-01-05,Medical bills inflated by estimated 34%,CONFIRMED
FRD-000180,CLM-2026-000725,Multiple Claims Short Period,MEDIUM,2025-01-05,Claimant filed 5 claims within 89 days,CONFIRMED
FRD-000181,CLM-2026-000740,Previous Fraud History,LOW,2025-09-15,Claimant has 3 previous fraud flags on record,CLOSED
FRD-000182,CLM-2026-000745,Medical Bill Padding,CRITICAL,2026-01-26,Medical bills inflated by estimated 77%,OPEN
FRD-000183,CLM-2026-000745,Excessive Claim Amount,MEDIUM,2026-01-20,"Claim amount $1,426.66 exceeds typical range by 70%",OPEN
FRD-000184,CLM-2026-000751,Previous Fraud History,MEDIUM,2025-11-08,Claimant has 1 previous fraud flags on record,CONFIRMED
FRD-000185,CLM-2026-000751,Suspicious Timing,HIGH,2025-10-28,Claim filed 1 days after policy inception/modification,OPEN
FRD-000186,CLM-2026-000753,Inconsistent Documentation,MEDIUM,2023-05-23,Documentation shows inconsistencies in dates and damage descriptions,OPEN
FRD-000187,CLM-2026-000753,Witness Inconsistency,MEDIUM,2023-05-27,Witness statements contain conflicting information,OPEN
FRD-000188,CLM-2026-000753,Inconsistent Documentation,CRITICAL,2023-05-03,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000189,CLM-2026-000764,Phantom Damage,HIGH,2024-06-04,Claimed damage not consistent with incident type,CONFIRMED
FRD-000190,CLM-2026-000764,Previous Fraud History,CRITICAL,2024-06-12,Claimant has 1 previous fraud flags on record,OPEN
FRD-000191,CLM-2026-000782,Medical Bill Padding,MEDIUM,2025-01-29,Medical bills inflated by estimated 38%,CONFIRMED
FRD-000192,CLM-2026-000782,Inconsistent Documentation,LOW,2025-01-26,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000193,CLM-2026-000782,Staged Accident Pattern,MEDIUM,2025-02-06,Incident characteristics match known staged accident patterns,OPEN
FRD-000194,CLM-2026-000811,Excessive Claim Amount,HIGH,2024-01-24,"Claim amount $81,615.98 exceeds typical range by 172%",OPEN
FRD-000195,CLM-2026-000816,Excessive Claim Amount,HIGH,2024-01-29,"Claim amount $66,780.08 exceeds typical range by 182%",CONFIRMED
FRD-000196,CLM-2026-000816,Inconsistent Documentation,MEDIUM,2024-01-29,Documentation shows inconsistencies in dates and damage descriptions,OPEN
FRD-000197,CLM-2026-000820,Staged Accident Pattern,LOW,2025-02-09,Incident characteristics match known staged accident patterns,OPEN
FRD-000198,CLM-2026-000820,Previous Fraud History,LOW,2025-02-11,Claimant has 3 previous fraud flags on record,CLOSED
FRD-000199,CLM-2026-000820,Policyholder Collusion,LOW,2025-02-12,Evidence suggests coordination between parties,CONFIRMED
FRD-000200,CLM-2026-000835,Staged Accident Pattern,HIGH,2024-01-14,Incident characteristics match known staged accident patterns,CLOSED
FRD-000201,CLM-2026-000835,Witness Inconsistency,MEDIUM,2024-01-20,Witness statements contain conflicting information,CLOSED
FRD-000202,CLM-2026-000843,Policyholder Collusion,LOW,2023-12-29,Evidence suggests coordination between parties,CLOSED
FRD-000203,CLM-2026-000843,Excessive Claim Amount,MEDIUM,2023-12-21,"Claim amount $103,214.06 exceeds typical range by 169%",OPEN
FRD-000204,CLM-2026-000862,Policyholder Collusion,LOW,2024-07-28,Evidence suggests coordination between parties,CLOSED
FRD-000205,CLM-2026-000862,Phantom Damage,CRITICAL,2024-08-08,Claimed damage not consistent with incident type,CLOSED
FRD-000206,CLM-2026-000869,Staged Accident Pattern,HIGH,2024-08-08,Incident characteristics match known staged accident patterns,CLOSED
FRD-000207,CLM-2026-000871,Previous Fraud History,HIGH,2025-12-09,Claimant has 2 previous fraud flags on record,CLOSED
FRD-000208,CLM-2026-000871,Multiple Claims Short Period,HIGH,2025-11-17,Claimant filed 6 claims within 33 days,OPEN
FRD-000209,CLM-2026-000877,Phantom Damage,MEDIUM,2025-01-23,Claimed damage not consistent with incident type,CLOSED
FRD-000210,CLM-2026-000877,Suspicious Timing,LOW,2025-01-17,Claim filed 5 days after policy inception/modification,CLOSED
FRD-000211,CLM-2026-000891,Phantom Damage,LOW,2023-05-31,Claimed damage not consistent with incident type,CLOSED
FRD-000212,CLM-2026-000891,Previous Fraud History,HIGH,2023-05-21,Claimant has 3 previous fraud flags on record,CLOSED
FRD-000213,CLM-2026-000892,Suspicious Timing,HIGH,2023-07-20,Claim filed 5 days after policy inception/modification,CONFIRMED
FRD-000214,CLM-2026-000894,Multiple Claims Short Period,HIGH,2024-05-18,Claimant filed 7 claims within 60 days,CLOSED
FRD-000215,CLM-2026-000894,Phantom Damage,HIGH,2024-05-22,Claimed damage not consistent with incident type,OPEN
FRD-000216,CLM-2026-000894,Multiple Claims Short Period,MEDIUM,2024-05-24,Claimant filed 6 claims within 50 days,CLOSED
FRD-000217,CLM-2026-000903,Multiple Claims Short Period,CRITICAL,2025-01-19,Claimant filed 8 claims within 38 days,CLOSED
FRD-000218,CLM-2026-000903,Suspicious Timing,HIGH,2025-01-31,Claim filed 5 days after policy inception/modification,CLOSED
