policy_number,total_claims,total_amount_paid,avg_claim_amount,last_claim_date,first_claim_date,claims_trend,policy_type,fraud_claims_count
POL-2024-605,4,6041.41,22807.11,2024-03-04,2023-06-06,INCREASING,AUTO,0
POL-2020-579,3,17995.82,17464.72,2025-05-19,2023-04-04,INCREASING,AUTO,0
POL-2022-882,3,0.0,75653.52,2025-07-18,2023-05-05,STABLE,AUTO,0
POL-2023-078,1,7402.52,7402.52,2024-08-29,2024-08-29,INSUFFICIENT_DATA,AUTO,0
POL-2023-208,2,4857.46,3292.76,2025-09-28,2024-05-29,INSUFFICIENT_DATA,AUTO,0
POL-2025-694,4,35560.91,8890.23,2025-08-16,2023-08-13,INCREASING,AUTO,3
POL-2020-803,2,0.0,33802.03,2024-08-09,2024-05-01,INSUFFICIENT_DATA,AUTO,1
POL-2020-524,2,0.0,74011.1,2024-07-17,2023-10-06,INSUFFICIENT_DATA,AUTO,0
POL-2022-537,3,142057.38,56995.36,2025-02-03,2023-03-16,INCREASING,AUTO,0
POL-2022-123,2,27619.97,38485.18,2024-03-20,2023-11-02,INSUFFICIENT_DATA,AUTO,0
POL-2022-107,5,130982.0,30970.01,2025-08-09,2023-02-12,INCREASING,AUTO,0
POL-2020-160,4,95915.04,44481.43,2025-05-03,2023-06-23,STABLE,AUTO,0
POL-2021-134,2,26031.76,53221.84,2024-08-13,2024-02-14,INSUFFICIENT_DATA,AUTO,0
POL-2024-491,1,0.0,9668.47,2024-06-18,2024-06-18,INSUFFICIENT_DATA,AUTO,0
POL-2024-867,3,38033.5,37455.26,2025-02-14,2023-05-16,DECREASING,AUTO,1
POL-2024-882,4,224151.66,57666.3,2025-07-01,2024-05-03,INCREASING,AUTO,1
POL-2024-107,2,6741.11,4400.68,2025-11-02,2023-12-01,INSUFFICIENT_DATA,AUTO,0
POL-2022-975,2,33717.31,59532.38,2024-10-03,2024-06-04,INSUFFICIENT_DATA,AUTO,0
POL-2021-100,2,14617.64,7308.82,2025-07-03,2023-04-08,INSUFFICIENT_DATA,AUTO,0
POL-2021-488,3,109806.49,37407.3,2025-09-16,2024-02-22,DECREASING,AUTO,0
POL-2024-536,2,106982.15,53491.08,2025-02-13,2023-10-23,INSUFFICIENT_DATA,AUTO,0
POL-2025-101,1,59627.08,59627.08,2024-07-18,2024-07-18,INSUFFICIENT_DATA,AUTO,0
POL-2025-946,3,74683.3,24894.43,2025-11-06,2024-03-11,STABLE,AUTO,0
POL-2025-282,3,30143.43,27689.23,2025-04-20,2023-05-06,INCREASING,AUTO,1
POL-2023-398,3,331401.13,110467.04,2025-02-07,2023-07-29,INCREASING,AUTO,1
POL-2024-967,3,43714.03,18631.11,2025-06-04,2023-02-25,DECREASING,AUTO,1
POL-2023-005,2,26506.79,37807.6,2025-12-27,2025-02-22,INSUFFICIENT_DATA,AUTO,0
POL-2020-604,4,37122.18,22022.06,2024-12-18,2023-03-27,DECREASING,AUTO,0
POL-2021-624,2,0.0,57551.46,2024-09-13,2023-09-14,INSUFFICIENT_DATA,AUTO,0
POL-2020-010,2,24246.29,16210.3,2025-01-26,2023-01-30,INSUFFICIENT_DATA,AUTO,0
POL-2023-943,1,51492.58,51492.58,2023-12-02,2023-12-02,INSUFFICIENT_DATA,AUTO,0
POL-2022-052,4,25257.03,19869.99,2025-02-26,2023-09-15,INCREASING,AUTO,0
POL-2025-373,3,14309.26,56706.13,2025-05-14,2024-10-19,DECREASING,AUTO,0
POL-2024-754,4,20519.51,6654.5,2025-07-14,2025-04-01,INCREASING,AUTO,0
POL-2025-298,1,0.0,130190.82,2024-04-14,2024-04-14,INSUFFICIENT_DATA,AUTO,0
POL-2025-758,1,56411.35,56411.35,2025-09-11,2025-09-11,INSUFFICIENT_DATA,AUTO,0
POL-2024-123,2,0.0,12714.94,2025-11-07,2024-12-09,INSUFFICIENT_DATA,AUTO,0
POL-2024-487,5,3652.89,17657.09,2025-07-06,2023-07-02,INCREASING,AUTO,0
POL-2024-849,3,25251.64,36211.24,2025-12-31,2023-01-28,INCREASING,AUTO,0
POL-2021-140,4,38965.12,30244.34,2025-03-02,2023-07-05,DECREASING,AUTO,0
POL-2023-661,2,9708.26,4854.13,2024-08-09,2024-05-25,INSUFFICIENT_DATA,AUTO,0
POL-2022-499,2,11004.19,18731.44,2025-07-11,2024-01-02,INSUFFICIENT_DATA,AUTO,0
POL-2025-245,5,233898.74,57481.03,2025-12-02,2024-05-22,DECREASING,AUTO,1
POL-2025-920,5,0.0,38279.41,2025-12-06,2023-03-25,STABLE,AUTO,1
POL-2021-058,2,22537.57,11268.78,2025-10-19,2023-09-17,INSUFFICIENT_DATA,AUTO,0
POL-2024-099,1,173322.42,173322.42,2023-11-10,2023-11-10,INSUFFICIENT_DATA,AUTO,0
POL-2024-419,3,16438.99,37978.99,2025-04-10,2023-07-26,INCREASING,AUTO,3
POL-2025-236,2,0.0,14757.96,2024-02-12,2023-05-16,INSUFFICIENT_DATA,AUTO,0
POL-2021-630,1,12153.09,12153.09,2023-04-06,2023-04-06,INSUFFICIENT_DATA,AUTO,0
POL-2022-711,2,53762.24,60296.04,2025-12-19,2025-08-18,INSUFFICIENT_DATA,AUTO,1
POL-2023-755,4,41535.37,41184.22,2025-04-18,2024-04-08,DECREASING,AUTO,0
POL-2022-404,4,50649.1,29382.56,2025-04-18,2023-10-09,DECREASING,AUTO,0
POL-2023-826,3,96982.98,33117.32,2025-06-18,2024-06-29,DECREASING,AUTO,1
POL-2022-333,2,0.0,9928.02,2025-02-20,2024-12-03,INSUFFICIENT_DATA,AUTO,0
POL-2020-216,2,7395.77,22060.3,2025-01-30,2023-08-19,INSUFFICIENT_DATA,AUTO,0
POL-2023-537,3,31809.49,19162.86,2025-05-03,2023-07-11,STABLE,AUTO,1
POL-2023-641,3,46632.24,19714.81,2025-09-04,2025-02-16,INCREASING,AUTO,0
POL-2025-811,3,60163.73,47037.55,2025-01-08,2023-10-27,DECREASING,AUTO,0
POL-2025-224,4,12500.22,5920.35,2025-10-22,2024-03-09,STABLE,AUTO,0
POL-2023-724,5,0.0,21149.55,2025-09-19,2023-07-05,DECREASING,AUTO,2
POL-2022-420,5,47105.75,28040.0,2025-04-07,2023-06-11,DECREASING,AUTO,2
POL-2020-968,1,46461.53,46461.53,2023-09-20,2023-09-20,INSUFFICIENT_DATA,AUTO,0
POL-2021-385,3,79456.38,38472.43,2025-08-24,2024-03-25,INCREASING,AUTO,1
POL-2022-812,1,6597.18,6597.18,2024-09-19,2024-09-19,INSUFFICIENT_DATA,AUTO,0
POL-2023-771,7,110508.71,40590.44,2025-03-10,2023-01-13,STABLE,AUTO,0
POL-2025-025,3,2201.67,5538.15,2025-05-30,2023-05-31,INCREASING,AUTO,0
POL-2020-386,4,25629.59,53638.42,2024-08-02,2023-07-16,INCREASING,AUTO,1
POL-2025-161,1,0.0,7690.02,2023-06-21,2023-06-21,INSUFFICIENT_DATA,AUTO,0
POL-2024-555,1,0.0,22604.88,2024-04-20,2024-04-20,INSUFFICIENT_DATA,AUTO,0
POL-2021-611,1,98665.78,98665.78,2024-12-18,2024-12-18,INSUFFICIENT_DATA,AUTO,0
POL-2025-845,1,0.0,40653.34,2024-03-24,2024-03-24,INSUFFICIENT_DATA,AUTO,0
POL-2025-513,2,0.0,25778.94,2025-09-27,2024-07-23,INSUFFICIENT_DATA,AUTO,0
POL-2021-788,3,26711.49,35575.31,2025-06-16,2023-11-18,STABLE,AUTO,0
POL-2022-340,2,6859.34,3429.67,2025-11-20,2024-12-25,INSUFFICIENT_DATA,AUTO,0
POL-2025-620,4,178314.73,83327.98,2026-01-10,2023-02-13,STABLE,AUTO,1
POL-2020-117,2,40139.19,29572.26,2025-12-23,2024-12-08,INSUFFICIENT_DATA,AUTO,0
POL-2025-548,3,137679.54,55609.57,2025-04-19,2024-03-09,INCREASING,AUTO,1
POL-2021-211,4,194875.29,48718.82,2025-07-03,2023-02-02,STABLE,AUTO,0
POL-2024-251,2,73132.55,36566.28,2025-07-07,2023-02-19,INSUFFICIENT_DATA,AUTO,0
POL-2024-265,3,115441.04,39085.25,2025-07-28,2025-05-02,INCREASING,AUTO,0
POL-2022-558,1,52207.46,52207.46,2023-04-30,2023-04-30,INSUFFICIENT_DATA,AUTO,0
POL-2025-899,3,45704.76,18376.85,2025-03-13,2024-06-12,INCREASING,AUTO,1
POL-2022-861,4,100189.22,25047.3,2025-10-25,2023-04-09,DECREASING,AUTO,0
POL-2020-582,2,153385.49,83660.33,2026-01-08,2024-09-19,INSUFFICIENT_DATA,AUTO,0
POL-2025-804,6,66012.75,24927.62,2024-12-18,2024-03-04,STABLE,AUTO,0
POL-2023-244,3,25844.04,18386.43,2025-09-15,2023-02-03,DECREASING,AUTO,1
POL-2022-822,4,0.0,12219.21,2025-07-15,2023-07-05,DECREASING,AUTO,0
POL-2024-823,2,29354.29,37451.69,2025-05-12,2023-03-02,INSUFFICIENT_DATA,AUTO,1
POL-2020-075,2,0.0,78636.73,2023-09-18,2023-08-09,INSUFFICIENT_DATA,AUTO,0
POL-2022-664,4,31154.1,21199.3,2024-05-01,2023-04-04,INCREASING,AUTO,0
POL-2021-759,2,5469.64,8254.34,2025-10-16,2025-01-02,INSUFFICIENT_DATA,AUTO,0
POL-2024-178,3,45432.99,23685.56,2025-02-25,2023-06-26,INCREASING,AUTO,1
POL-2025-512,2,5111.05,15739.94,2024-09-21,2023-02-06,INSUFFICIENT_DATA,AUTO,1
POL-2020-497,2,4401.69,21030.91,2026-01-07,2023-08-03,INSUFFICIENT_DATA,AUTO,0
POL-2023-429,6,255201.78,49824.79,2025-08-18,2023-01-30,DECREASING,AUTO,1
POL-2025-842,2,0.0,30194.83,2025-10-22,2024-08-17,INSUFFICIENT_DATA,AUTO,1
POL-2025-969,3,33747.35,19182.35,2025-10-15,2023-06-15,INCREASING,AUTO,0
POL-2023-498,5,139243.08,92222.66,2025-03-05,2023-03-14,STABLE,AUTO,1
POL-2024-661,2,97413.3,50540.04,2025-04-17,2024-06-16,INSUFFICIENT_DATA,AUTO,1
POL-2024-725,2,17661.23,9510.13,2025-02-27,2024-03-05,INSUFFICIENT_DATA,AUTO,0
POL-2020-412,3,11934.17,17987.35,2025-09-17,2023-09-27,DECREASING,AUTO,0
POL-2023-296,3,15786.26,24299.18,2024-09-20,2023-10-28,DECREASING,AUTO,1
POL-2022-979,2,76798.55,46704.48,2025-01-08,2023-04-08,INSUFFICIENT_DATA,AUTO,1
POL-2024-655,2,33406.79,16703.4,2026-01-12,2024-01-07,INSUFFICIENT_DATA,AUTO,1
POL-2023-939,2,0.0,73326.58,2025-09-08,2023-02-07,INSUFFICIENT_DATA,AUTO,0
POL-2022-684,3,32572.18,12400.7,2025-10-19,2024-11-13,DECREASING,AUTO,0
POL-2023-690,2,8648.17,40453.03,2025-06-05,2024-11-07,INSUFFICIENT_DATA,AUTO,0
POL-2025-088,2,5170.66,22734.64,2025-11-19,2023-05-17,INSUFFICIENT_DATA,AUTO,0
POL-2021-031,3,13917.09,10807.13,2025-03-22,2023-05-31,STABLE,AUTO,0
POL-2023-138,1,8673.43,8673.43,2023-06-09,2023-06-09,INSUFFICIENT_DATA,AUTO,0
POL-2022-607,3,42382.73,33369.62,2025-06-27,2023-06-26,STABLE,AUTO,0
POL-2024-412,1,63849.91,63849.91,2023-04-04,2023-04-04,INSUFFICIENT_DATA,AUTO,0
POL-2025-642,3,14990.61,26120.24,2024-07-07,2023-05-28,DECREASING,AUTO,0
POL-2025-498,2,118445.51,59222.76,2025-02-17,2024-03-11,INSUFFICIENT_DATA,AUTO,0
POL-2021-220,2,27074.1,49102.05,2023-11-11,2023-08-04,INSUFFICIENT_DATA,AUTO,0
POL-2022-309,4,266339.6,73107.85,2025-06-22,2024-01-01,DECREASING,AUTO,0
POL-2021-644,2,27055.47,25695.84,2025-11-22,2024-01-08,INSUFFICIENT_DATA,AUTO,0
POL-2023-615,2,30706.99,19452.85,2025-08-02,2024-10-08,INSUFFICIENT_DATA,AUTO,1
POL-2020-481,6,59778.87,24357.98,2025-08-23,2024-05-25,DECREASING,AUTO,1
POL-2025-544,4,40611.68,25834.99,2025-06-10,2025-01-06,DECREASING,AUTO,2
POL-2022-727,1,2182.35,2182.35,2023-05-22,2023-05-22,INSUFFICIENT_DATA,AUTO,0
POL-2022-609,3,177077.3,59025.77,2025-06-15,2023-03-22,DECREASING,AUTO,0
POL-2022-682,4,145274.76,38413.56,2025-02-25,2023-04-25,INCREASING,AUTO,1
POL-2020-523,1,29721.18,29721.18,2024-05-13,2024-05-13,INSUFFICIENT_DATA,AUTO,0
POL-2023-472,3,3280.55,15905.65,2026-01-07,2024-02-05,INCREASING,AUTO,2
POL-2022-584,2,28666.61,14333.3,2025-10-09,2025-02-13,INSUFFICIENT_DATA,AUTO,0
POL-2022-449,3,9397.56,10073.28,2025-02-15,2023-10-06,DECREASING,AUTO,0
POL-2021-179,5,65427.05,46648.95,2025-08-18,2023-04-04,INCREASING,AUTO,0
POL-2025-453,3,29773.11,25328.63,2025-11-22,2024-09-01,INCREASING,AUTO,0
POL-2023-715,1,0.0,1452.18,2023-10-08,2023-10-08,INSUFFICIENT_DATA,AUTO,0
POL-2021-825,5,43402.37,17291.94,2025-12-22,2023-05-10,DECREASING,AUTO,2
POL-2025-997,2,80157.67,40078.84,2024-12-17,2023-02-20,INSUFFICIENT_DATA,AUTO,0
POL-2020-561,4,85927.35,21694.84,2025-12-30,2023-08-26,INCREASING,AUTO,0
POL-2020-660,2,24437.8,12218.9,2025-07-21,2024-05-28,INSUFFICIENT_DATA,AUTO,0
POL-2022-787,2,30687.2,15343.6,2023-05-16,2023-01-25,INSUFFICIENT_DATA,AUTO,0
POL-2025-805,5,128262.69,25652.54,2025-09-09,2023-10-04,DECREASING,AUTO,1
POL-2025-570,3,1979.09,42741.29,2024-08-27,2023-03-01,INCREASING,AUTO,0
POL-2025-127,3,94296.8,38113.7,2025-08-04,2023-11-18,DECREASING,AUTO,0
POL-2025-699,2,16162.93,60012.54,2024-10-19,2023-10-18,INSUFFICIENT_DATA,AUTO,1
POL-2023-324,2,34448.49,17224.24,2024-09-17,2023-06-02,INSUFFICIENT_DATA,AUTO,0
POL-2020-088,2,20625.49,25830.62,2025-08-21,2023-04-02,INSUFFICIENT_DATA,AUTO,0
POL-2025-070,4,26844.71,8479.5,2025-11-20,2024-05-19,DECREASING,AUTO,1
POL-2023-712,1,9130.75,9130.75,2025-09-22,2025-09-22,INSUFFICIENT_DATA,AUTO,0
POL-2021-203,1,6064.02,6064.02,2025-05-17,2025-05-17,INSUFFICIENT_DATA,AUTO,1
POL-2021-944,2,10568.13,13458.46,2025-04-25,2025-04-03,INSUFFICIENT_DATA,AUTO,0
POL-2021-463,3,31904.69,32180.32,2025-07-02,2023-04-05,INCREASING,AUTO,1
POL-2020-074,1,0.0,24004.45,2023-03-23,2023-03-23,INSUFFICIENT_DATA,AUTO,0
POL-2025-834,2,43490.37,21745.18,2023-10-17,2023-06-21,INSUFFICIENT_DATA,AUTO,0
POL-2023-210,5,66479.55,22299.84,2025-11-26,2024-03-09,INCREASING,AUTO,0
POL-2021-892,3,16176.79,11286.81,2025-04-24,2023-07-08,INCREASING,AUTO,0
POL-2024-751,2,0.0,73407.14,2024-05-12,2023-12-26,INSUFFICIENT_DATA,AUTO,0
POL-2021-407,2,101992.07,51104.66,2025-10-13,2025-01-18,INSUFFICIENT_DATA,AUTO,0
POL-2025-734,3,22738.84,25814.91,2025-05-15,2023-01-14,INCREASING,AUTO,0
POL-2022-178,2,10601.57,6426.62,2024-11-21,2023-10-25,INSUFFICIENT_DATA,AUTO,0
POL-2023-392,4,71201.48,21024.82,2025-01-21,2024-01-27,INCREASING,AUTO,2
POL-2021-821,4,23139.32,29125.11,2025-09-20,2023-01-27,INCREASING,AUTO,0
POL-2024-753,1,12549.09,12549.09,2024-07-11,2024-07-11,INSUFFICIENT_DATA,AUTO,0
POL-2020-395,3,147464.17,52448.54,2025-02-21,2023-12-09,INCREASING,AUTO,0
POL-2024-932,4,11561.43,14214.81,2025-07-28,2023-03-19,STABLE,AUTO,1
POL-2021-515,1,11174.05,11174.05,2023-09-15,2023-09-15,INSUFFICIENT_DATA,AUTO,0
POL-2023-776,3,9633.14,9989.2,2025-01-02,2023-03-06,DECREASING,AUTO,0
POL-2020-649,3,14201.59,22598.45,2025-03-11,2023-02-08,INCREASING,AUTO,1
POL-2025-092,3,25304.37,22363.82,2023-07-06,2023-03-12,INCREASING,AUTO,0
POL-2021-763,3,109324.22,66926.4,2025-08-25,2023-05-29,STABLE,AUTO,0
POL-2022-515,1,0.0,83636.37,2025-03-24,2025-03-24,INSUFFICIENT_DATA,AUTO,1
POL-2020-135,2,35729.69,24975.16,2023-11-02,2023-07-18,INSUFFICIENT_DATA,AUTO,0
POL-2023-501,2,29083.77,14541.88,2023-08-24,2023-02-25,INSUFFICIENT_DATA,AUTO,1
POL-2021-416,2,13078.24,12092.32,2024-02-20,2023-08-05,INSUFFICIENT_DATA,AUTO,0
POL-2024-927,2,0.0,18355.89,2024-05-09,2023-05-10,INSUFFICIENT_DATA,AUTO,0
POL-2025-276,4,35423.07,23218.16,2025-07-23,2023-09-25,INCREASING,AUTO,0
POL-2020-542,3,8846.18,12731.29,2025-04-30,2023-11-19,DECREASING,AUTO,1
POL-2022-283,2,0.0,21415.43,2023-09-13,2023-03-03,INSUFFICIENT_DATA,AUTO,0
POL-2025-974,2,64896.88,41287.96,2025-12-17,2024-02-01,INSUFFICIENT_DATA,AUTO,0
POL-2023-059,1,0.0,166888.2,2024-05-05,2024-05-05,INSUFFICIENT_DATA,AUTO,0
POL-2020-195,3,99415.62,39838.43,2025-04-29,2023-09-15,DECREASING,AUTO,0
POL-2023-492,1,0.0,13460.29,2024-09-08,2024-09-08,INSUFFICIENT_DATA,AUTO,0
POL-2021-345,3,34025.26,12075.37,2025-12-09,2023-09-11,DECREASING,AUTO,0
POL-2023-090,2,130994.65,65497.32,2025-11-28,2024-01-09,INSUFFICIENT_DATA,AUTO,0
POL-2020-171,3,0.0,15820.88,2025-05-24,2023-06-01,INCREASING,AUTO,0
POL-2021-299,4,89951.21,38399.87,2025-12-25,2023-09-28,DECREASING,AUTO,2
POL-2025-764,4,103882.87,40991.0,2025-12-12,2023-04-20,INCREASING,AUTO,0
POL-2024-141,3,102547.64,67222.59,2025-03-31,2023-09-16,DECREASING,AUTO,0
POL-2025-378,3,60781.1,24408.99,2024-01-05,2023-08-21,INCREASING,AUTO,1
POL-2021-394,2,3587.96,13030.18,2025-01-15,2024-08-26,INSUFFICIENT_DATA,AUTO,0
POL-2020-679,3,134954.77,93253.97,2025-03-24,2023-10-15,INCREASING,AUTO,1
POL-2025-233,3,100377.29,91456.27,2024-05-23,2023-09-01,DECREASING,AUTO,1
POL-2024-207,1,7933.48,7933.48,2024-09-06,2024-09-06,INSUFFICIENT_DATA,AUTO,0
POL-2025-670,1,26785.71,26785.71,2025-10-25,2025-10-25,INSUFFICIENT_DATA,AUTO,0
POL-2021-728,3,7385.66,10546.13,2025-10-14,2023-07-20,DECREASING,AUTO,0
POL-2023-686,2,0.0,10763.11,2025-12-22,2025-08-18,INSUFFICIENT_DATA,AUTO,1
POL-2025-434,2,0.0,7038.4,2025-10-02,2024-01-08,INSUFFICIENT_DATA,AUTO,0
POL-2025-846,2,15203.7,12417.44,2024-11-26,2024-10-18,INSUFFICIENT_DATA,AUTO,0
POL-2023-665,2,45142.78,26867.78,2025-12-12,2023-04-29,INSUFFICIENT_DATA,AUTO,0
POL-2022-873,3,19738.7,15505.65,2025-10-19,2023-04-06,DECREASING,AUTO,0
POL-2023-248,2,55722.78,73723.74,2025-03-09,2023-05-24,INSUFFICIENT_DATA,AUTO,0
POL-2020-761,2,0.0,114410.72,2025-02-26,2024-01-16,INSUFFICIENT_DATA,AUTO,1
POL-2023-385,3,9753.02,5298.57,2025-11-14,2024-11-12,INCREASING,AUTO,1
POL-2023-447,3,42277.34,61430.6,2025-08-30,2024-06-25,DECREASING,AUTO,2
POL-2023-031,2,0.0,35641.3,2024-10-30,2023-09-23,INSUFFICIENT_DATA,AUTO,0
POL-2023-123,1,17979.58,17979.58,2023-08-03,2023-08-03,INSUFFICIENT_DATA,AUTO,0
POL-2024-106,1,34249.55,34249.55,2025-10-07,2025-10-07,INSUFFICIENT_DATA,AUTO,1
POL-2023-685,2,63053.11,31526.56,2023-06-08,2023-02-27,INSUFFICIENT_DATA,AUTO,0
POL-2021-939,2,0.0,76968.94,2024-09-17,2023-01-29,INSUFFICIENT_DATA,AUTO,0
POL-2023-199,1,0.0,3836.57,2024-02-22,2024-02-22,INSUFFICIENT_DATA,AUTO,0
POL-2024-489,2,7007.03,4733.42,2024-06-06,2024-06-03,INSUFFICIENT_DATA,AUTO,0
